IP,Protocols,Country,RegisteredCountry,Longitude,Latitude,City,RegisteredCountyCode,CountryCode,Province,PostalCode,TimeZone,Continent,FingerprintSha256,SubjectDn,IssuerDn,Domain,AlexaRank
,,,,0E+00,0E+00,,,,,,,,27f6810fd47d722cf126829771993bff5e1c3d581bce53e6045c62bbc4817926,CN=www.notifications-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,d987154916ab4ccb717e0c8c019006452725942c8ceffdc26c9df3bcb8faa543,CN=engine-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,438ef381cd049d62f2a4540117ea6e8b15153a37ff664796188797a1d633bc0a,CN=*.hr-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,4d175f0fb4aeea755b12d832ef875caab927fdacfdb8c75fe1197c7d8f0da866,"OU=Domain Control Validated, OU=COMSSL Wildcard SSL, CN=*.androld-google.com","C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO RSA Domain Validation Secure Server CA",,0
,,,,0E+00,0E+00,,,,,,,,45e7970c23b589e67e7253d1cc172edddc9ef9a4063c3f48c25d5d25a405dbb6,CN=*.hr-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,63f78e8d4322cc34e631e3d38a776cd872950d4d25bb889aa3729c92cc73bd7f,CN=www.naoto-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,ef6b892b472adac3405bc8618f147f463163087aaeed14ebec9d920ee2f830d3,CN=agence-referencement-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,c74d92534d3961222c32d6d428c191197676100e1f0ac1965cb98c6681b55992,CN=myaccounte-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,61ad3918dbb56356cc5c00f9bc9ca3d1bb57d9d78350a653468fc49fd289ca5d,CN=myaccounte-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
,,,,0E+00,0E+00,,,,,,,,bc8420fc3699c276d9b95beb8e03f345e8c256f8ffe34779cf41860bff489f29,CN=top10-google.com,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",,0
